S.No,Province/State,Country,Date,Confirmed,Deaths,Recovered
1,,Afghanistan,22-01-2020,0,0,0
2,,Albania,22-01-2020,0,0,0
3,,Algeria,22-01-2020,0,0,0
4,,Andorra,22-01-2020,0,0,0
5,,Angola,22-01-2020,0,0,0
6,,Antigua and Barbuda,22-01-2020,0,0,0
7,,Argentina,22-01-2020,0,0,0
8,,Armenia,22-01-2020,0,0,0
9,Australian Capital Territory,Australia,22-01-2020,0,0,0
10,New South Wales,Australia,22-01-2020,0,0,0
11,Northern Territory,Australia,22-01-2020,0,0,0
12,Queensland,Australia,22-01-2020,0,0,0
13,South Australia,Australia,22-01-2020,0,0,0
14,Tasmania,Australia,22-01-2020,0,0,0
15,Victoria,Australia,22-01-2020,0,0,0
16,Western Australia,Australia,22-01-2020,0,0,0
17,,Austria,22-01-2020,0,0,0
18,,Azerbaijan,22-01-2020,0,0,0
19,,Bahamas,22-01-2020,0,0,0
20,,Bahrain,22-01-2020,0,0,0
21,,Bangladesh,22-01-2020,0,0,0
22,,Barbados,22-01-2020,0,0,0
23,,Belarus,22-01-2020,0,0,0
24,,Belgium,22-01-2020,0,0,0
25,,Benin,22-01-2020,0,0,0
26,,Bhutan,22-01-2020,0,0,0
27,,Bolivia,22-01-2020,0,0,0
28,,Bosnia and Herzegovina,22-01-2020,0,0,0
29,,Brazil,22-01-2020,0,0,0
30,,Brunei,22-01-2020,0,0,0
31,,Bulgaria,22-01-2020,0,0,0
32,,Burkina Faso,22-01-2020,0,0,0
33,,Cabo Verde,22-01-2020,0,0,0
34,,Cambodia,22-01-2020,0,0,0
35,,Cameroon,22-01-2020,0,0,0
36,Alberta,Canada,22-01-2020,0,0,0
37,British Columbia,Canada,22-01-2020,0,0,0
38,Grand Princess,Canada,22-01-2020,0,0,0
39,Manitoba,Canada,22-01-2020,0,0,0
40,New Brunswick,Canada,22-01-2020,0,0,0
41,Newfoundland and Labrador,Canada,22-01-2020,0,0,0
42,Nova Scotia,Canada,22-01-2020,0,0,0
43,Ontario,Canada,22-01-2020,0,0,0
44,Prince Edward Island,Canada,22-01-2020,0,0,0
45,Quebec,Canada,22-01-2020,0,0,0
46,Saskatchewan,Canada,22-01-2020,0,0,0
47,,Central African Republic,22-01-2020,0,0,0
48,,Chad,22-01-2020,0,0,0
49,,Chile,22-01-2020,0,0,0
50,Anhui,China,22-01-2020,1,0,0
51,Beijing,China,22-01-2020,14,0,0
52,Chongqing,China,22-01-2020,6,0,0
53,Fujian,China,22-01-2020,1,0,0
54,Gansu,China,22-01-2020,0,0,0
55,Guangdong,China,22-01-2020,26,0,0
56,Guangxi,China,22-01-2020,2,0,0
57,Guizhou,China,22-01-2020,1,0,0
58,Hainan,China,22-01-2020,4,0,0
59,Hebei,China,22-01-2020,1,0,0
60,Heilongjiang,China,22-01-2020,0,0,0
61,Henan,China,22-01-2020,5,0,0
62,Hong Kong,China,22-01-2020,0,0,0
63,Hubei,China,22-01-2020,444,17,28
64,Hunan,China,22-01-2020,4,0,0
65,Inner Mongolia,China,22-01-2020,0,0,0
66,Jiangsu,China,22-01-2020,1,0,0
67,Jiangxi,China,22-01-2020,2,0,0
68,Jilin,China,22-01-2020,0,0,0
69,Liaoning,China,22-01-2020,2,0,0
70,Macau,China,22-01-2020,1,0,0
71,Ningxia,China,22-01-2020,1,0,0
72,Qinghai,China,22-01-2020,0,0,0
73,Shaanxi,China,22-01-2020,0,0,0
74,Shandong,China,22-01-2020,2,0,0
75,Shanghai,China,22-01-2020,9,0,0
76,Shanxi,China,22-01-2020,1,0,0
77,Sichuan,China,22-01-2020,5,0,0
78,Tianjin,China,22-01-2020,4,0,0
79,Tibet,China,22-01-2020,0,0,0
80,Xinjiang,China,22-01-2020,0,0,0
81,Yunnan,China,22-01-2020,1,0,0
82,Zhejiang,China,22-01-2020,10,0,0
83,,Colombia,22-01-2020,0,0,0
84,,Congo (Brazzaville),22-01-2020,0,0,0
85,,Congo (Kinshasa),22-01-2020,0,0,0
86,,Costa Rica,22-01-2020,0,0,0
87,,Cote d'Ivoire,22-01-2020,0,0,0
88,,Croatia,22-01-2020,0,0,0
89,,Diamond Princess,22-01-2020,0,0,0
90,,Cuba,22-01-2020,0,0,0
91,,Cyprus,22-01-2020,0,0,0
92,,Czechia,22-01-2020,0,0,0
93,Faroe Islands,Denmark,22-01-2020,0,0,0
94,Greenland,Denmark,22-01-2020,0,0,0
95,,Denmark,22-01-2020,0,0,0
96,,Djibouti,22-01-2020,0,0,0
97,,Dominican Republic,22-01-2020,0,0,0
98,,Ecuador,22-01-2020,0,0,0
99,,Egypt,22-01-2020,0,0,0
100,,El Salvador,22-01-2020,0,0,0
101,,Equatorial Guinea,22-01-2020,0,0,0
102,,Eritrea,22-01-2020,0,0,0
103,,Estonia,22-01-2020,0,0,0
104,,Eswatini,22-01-2020,0,0,0
105,,Ethiopia,22-01-2020,0,0,0
106,,Fiji,22-01-2020,0,0,0
107,,Finland,22-01-2020,0,0,0
108,French Guiana,France,22-01-2020,0,0,0
109,French Polynesia,France,22-01-2020,0,0,0
110,Guadeloupe,France,22-01-2020,0,0,0
111,Mayotte,France,22-01-2020,0,0,0
112,New Caledonia,France,22-01-2020,0,0,0
113,Reunion,France,22-01-2020,0,0,0
114,Saint Barthelemy,France,22-01-2020,0,0,0
115,St Martin,France,22-01-2020,0,0,0
116,Martinique,France,22-01-2020,0,0,0
117,,France,22-01-2020,0,0,0
118,,Gabon,22-01-2020,0,0,0
119,,Gambia,22-01-2020,0,0,0
120,,Georgia,22-01-2020,0,0,0
121,,Germany,22-01-2020,0,0,0
122,,Ghana,22-01-2020,0,0,0
123,,Greece,22-01-2020,0,0,0
124,,Guatemala,22-01-2020,0,0,0
125,,Guinea,22-01-2020,0,0,0
126,,Guyana,22-01-2020,0,0,0
127,,Haiti,22-01-2020,0,0,0
128,,Holy See,22-01-2020,0,0,0
129,,Honduras,22-01-2020,0,0,0
130,,Hungary,22-01-2020,0,0,0
131,,Iceland,22-01-2020,0,0,0
132,,India,22-01-2020,0,0,0
133,,Indonesia,22-01-2020,0,0,0
134,,Iran,22-01-2020,0,0,0
135,,Iraq,22-01-2020,0,0,0
136,,Ireland,22-01-2020,0,0,0
137,,Israel,22-01-2020,0,0,0
138,,Italy,22-01-2020,0,0,0
139,,Jamaica,22-01-2020,0,0,0
140,,Japan,22-01-2020,2,0,0
141,,Jordan,22-01-2020,0,0,0
142,,Kazakhstan,22-01-2020,0,0,0
143,,Kenya,22-01-2020,0,0,0
144,,South Korea,22-01-2020,1,0,0
145,,Kuwait,22-01-2020,0,0,0
146,,Kyrgyzstan,22-01-2020,0,0,0
147,,Latvia,22-01-2020,0,0,0
148,,Lebanon,22-01-2020,0,0,0
149,,Liberia,22-01-2020,0,0,0
150,,Liechtenstein,22-01-2020,0,0,0
151,,Lithuania,22-01-2020,0,0,0
152,,Luxembourg,22-01-2020,0,0,0
153,,Madagascar,22-01-2020,0,0,0
154,,Malaysia,22-01-2020,0,0,0
155,,Maldives,22-01-2020,0,0,0
156,,Malta,22-01-2020,0,0,0
157,,Mauritania,22-01-2020,0,0,0
158,,Mauritius,22-01-2020,0,0,0
159,,Mexico,22-01-2020,0,0,0
160,,Moldova,22-01-2020,0,0,0
161,,Monaco,22-01-2020,0,0,0
162,,Mongolia,22-01-2020,0,0,0
163,,Montenegro,22-01-2020,0,0,0
164,,Morocco,22-01-2020,0,0,0
165,,Namibia,22-01-2020,0,0,0
166,,Nepal,22-01-2020,0,0,0
167,Aruba,Netherlands,22-01-2020,0,0,0
168,Curacao,Netherlands,22-01-2020,0,0,0
169,Sint Maarten,Netherlands,22-01-2020,0,0,0
170,,Netherlands,22-01-2020,0,0,0
171,,New Zealand,22-01-2020,0,0,0
172,,Nicaragua,22-01-2020,0,0,0
173,,Niger,22-01-2020,0,0,0
174,,Nigeria,22-01-2020,0,0,0
175,,North Macedonia,22-01-2020,0,0,0
176,,Norway,22-01-2020,0,0,0
177,,Oman,22-01-2020,0,0,0
178,,Pakistan,22-01-2020,0,0,0
179,,Panama,22-01-2020,0,0,0
180,,Papua New Guinea,22-01-2020,0,0,0
181,,Paraguay,22-01-2020,0,0,0
182,,Peru,22-01-2020,0,0,0
183,,Philippines,22-01-2020,0,0,0
184,,Poland,22-01-2020,0,0,0
185,,Portugal,22-01-2020,0,0,0
186,,Qatar,22-01-2020,0,0,0
187,,Romania,22-01-2020,0,0,0
188,,Russia,22-01-2020,0,0,0
189,,Rwanda,22-01-2020,0,0,0
190,,Saint Lucia,22-01-2020,0,0,0
191,,Saint Vincent and the Grenadines,22-01-2020,0,0,0
192,,San Marino,22-01-2020,0,0,0
193,,Saudi Arabia,22-01-2020,0,0,0
194,,Senegal,22-01-2020,0,0,0
195,,Serbia,22-01-2020,0,0,0
196,,Seychelles,22-01-2020,0,0,0
197,,Singapore,22-01-2020,0,0,0
198,,Slovakia,22-01-2020,0,0,0
199,,Slovenia,22-01-2020,0,0,0
200,,Somalia,22-01-2020,0,0,0
201,,South Africa,22-01-2020,0,0,0
202,,Spain,22-01-2020,0,0,0
203,,Sri Lanka,22-01-2020,0,0,0
204,,Sudan,22-01-2020,0,0,0
205,,Suriname,22-01-2020,0,0,0
206,,Sweden,22-01-2020,0,0,0
207,,Switzerland,22-01-2020,0,0,0
208,,Taiwan*,22-01-2020,1,0,0
209,,Tanzania,22-01-2020,0,0,0
210,,Thailand,22-01-2020,2,0,0
211,,Togo,22-01-2020,0,0,0
212,,Trinidad and Tobago,22-01-2020,0,0,0
213,,Tunisia,22-01-2020,0,0,0
214,,Turkey,22-01-2020,0,0,0
215,,Uganda,22-01-2020,0,0,0
216,,Ukraine,22-01-2020,0,0,0
217,,United Arab Emirates,22-01-2020,0,0,0
218,Bermuda,United Kingdom,22-01-2020,0,0,0
219,Cayman Islands,United Kingdom,22-01-2020,0,0,0
220,Channel Islands,United Kingdom,22-01-2020,0,0,0
221,Gibraltar,United Kingdom,22-01-2020,0,0,0
222,Isle of Man,United Kingdom,22-01-2020,0,0,0
223,Montserrat,United Kingdom,22-01-2020,0,0,0
224,,United Kingdom,22-01-2020,0,0,0
225,,Uruguay,22-01-2020,0,0,0
226,,US,22-01-2020,1,0,0
227,,Uzbekistan,22-01-2020,0,0,0
228,,Venezuela,22-01-2020,0,0,0
229,,Vietnam,22-01-2020,0,0,0
230,,Zambia,22-01-2020,0,0,0
